Gene	Flk_Sp1WT	HE1_Sp1WT	HE2_Sp1WT	HP_Sp1WT
Dhx40	1	1	1	1
Dhx57	0	0	0	0
Dhx58	0	0	0	0
Dhx8	1	1	1	1
Dhx9	1	1	1	1
Diablo	1	1	1	1
Diaph1	1	1	1	1
Diaph2	1	1	1	1
Diaph3	1	1	1	1
Dicer1	1	1	1	1
Dido1	1	1	1	1
Diexf	1	1	1	1
Dimt1	1	1	1	1
Dip2a	1	1	1	1
Dip2b	0	0	1	1
Dip2c	0	0	0	0
Diras2	1	1	1	1
Dirc2	1	1	1	1
Dis3	1	1	1	1
Dis3l	1	1	1	1
Dis3l2	1	1	1	1
Disc1	1	1	1	1
Disp1	1	1	1	1
Disp2	1	1	1	1
Dixdc1	1	1	1	1
Dkc1	1	1	1	1
Dkk1	1	1	0	0
Dkk2	1	1	1	1
Dkk3	1	0	1	0
Dkkl1	0	0	0	0
Dlat	1	1	1	1
Dlc1	1	1	1	1
Dld	1	1	1	1
Dleu2	1	1	1	1
Dleu7	1	0	1	0
Dlg1	1	1	1	1
Dlg3	1	1	1	1
Dlg4	0	0	0	0
Dlg5	1	1	1	1
Dlgap3	1	1	1	1
Dlgap4	1	1	1	1
Dlgap5	1	1	1	1
Dlk1	1	1	0	1
Dll1	1	1	1	1
Dll3	1	0	0	0
Dll4	1	1	1	1
Dlst	1	1	1	1
Dlx2	1	1	1	1
Dlx3	1	1	1	0
Dmap1	1	1	1	1
Dmc1	0	0	0	0
Dmd	1	1	1	1
Dmgdh	0	0	0	0
Dmkn	1	0	0	0
Dmpk	0	0	0	0
Dmrt1	0	0	0	0
Dmrt3	0	0	0	0
Dmrtb1	0	0	0	0
Dmrtc1c1	0	0	0	0
Dmtf1	1	1	1	1
Dmtn	1	1	1	1
Dmwd	1	1	1	1
Dmxl1	1	1	1	1
Dmxl2	1	1	1	1
Dna2	1	1	1	1
Dnaaf2	0	0	0	0
Dnaaf3	1	1	1	1
Dnaaf5	1	1	1	1
Dnah2	0	0	0	0
Dnah7b	1	1	1	1
Dnah8	0	0	0	0
Dnaic1	0	0	0	0
Dnaja1	1	0	0	0
Dnaja2	1	1	1	1
Dnaja3	0	0	0	0
Dnaja4	1	0	1	1
Dnajb1	1	1	1	1
Dnajb11	1	1	1	1
Dnajb12	1	1	1	1
Dnajb13	1	0	0	0
Dnajb14	0	0	0	0
Dnajb2	1	1	1	1
Dnajb3	1	0	0	0
Dnajb4	1	1	1	1
Dnajb5	0	0	0	0
Dnajb6	1	1	1	0
Dnajb7	0	0	0	0
Dnajb9	0	0	0	0
Dnajc1	1	1	1	1
Dnajc10	1	1	1	1
Dnajc11	1	1	1	1
Dnajc12	1	1	1	1
Dnajc13	1	1	1	1
Dnajc14	0	0	0	0
Dnajc15	1	1	1	1
Dnajc16	1	1	1	1
Dnajc17	0	0	0	0
Dnajc18	1	1	1	1
Dnajc19	1	1	1	1
Dnajc2	1	1	1	1
Dnajc21	1	1	1	1
Dnajc22	1	0	0	0
Dnajc24	1	1	1	1
Dnajc25	1	1	1	1
Dnajc27	1	1	1	1
Dnajc28	1	1	1	1
Dnajc3	1	1	1	1
Dnajc30	1	1	1	1
Dnajc4	1	1	1	1
Dnajc5	1	1	1	1
Dnajc6	1	1	1	1
Dnajc7	1	1	1	1
Dnajc8	1	1	1	1
Dnajc9	1	1	1	1
Dnal1	1	1	1	1
Dnal4	1	1	1	1
Dnali1	1	0	1	0
Dnase1	0	0	0	0
Dnase1l1	1	1	1	1
Dnase1l2	0	0	0	0
Dnase1l3	0	0	0	0
Dnase2a	1	1	1	1
Dnd1	0	0	0	0
Dnlz	1	1	1	1
Dnm1	1	0	0	0
Dnm1l	1	1	1	1
Dnm2	1	1	1	1
Dnmbp	1	1	1	1
Dnmt1	1	1	1	1
Dnmt3a	1	1	1	1
Dnmt3b	1	1	1	1
Dnmt3l	0	0	0	0
Dnpep	1	1	1	1
Dnph1	1	1	1	1
Dnttip1	1	1	1	1
Dnttip2	1	1	1	1
Doc2a	1	0	0	1
Doc2g	0	0	0	0
Dock1	1	1	1	1
Dock10	1	1	1	1
Dock11	1	1	1	1
Dock2	0	0	0	1
Dock3	0	0	0	1
Dock4	1	1	1	1
Dock5	1	1	1	1
Dock6	1	1	0	1
Dock7	1	1	1	1
Dock8	1	1	0	1
Dock9	1	1	1	1
Dohh	0	0	0	0
Dok1	1	1	1	1
Dok2	0	0	0	0
Dok3	0	0	0	0
Dok4	1	1	1	1
Dok5	1	1	1	1
Dolk	1	1	1	1
Dolpp1	1	1	1	1
Donson	1	1	1	1
Dopey1	1	1	1	1
Dopey2	1	1	1	1
Dot1l	1	1	1	1
Dpagt1	1	1	1	0
Dpcd	0	0	0	1
Dpep3	0	0	0	0
Dpf1	0	0	0	0
Dpf2	1	1	1	1
Dpf3	1	1	1	1
Dph1	1	1	1	1
Dph2	1	1	1	1
Dph3	1	1	1	1
Dph5	0	0	0	0
Dph6	1	1	1	1
Dph7	1	1	1	1
Dpm1	0	0	0	1
Dpm2	1	1	1	1
Dpm3	1	1	1	1
Dpp3	1	1	1	1
Dpp4	0	1	1	0
Dpp7	1	1	1	1
Dpp8	1	1	1	1
Dpp9	1	1	1	1
Dppa2	0	0	0	0
Dppa3	0	0	0	0
Dppa4	0	0	0	0
Dppa5a	0	0	0	0
Dpy19l1	1	1	1	1
Dpy19l3	1	1	1	1
Dpy19l4	1	1	1	1
Dpy30	1	1	1	1
Dpys	0	0	0	0
Dpysl2	0	0	0	0
Dpysl3	1	1	1	1
Dpysl4	1	0	1	1
Dpysl5	1	1	1	0
DQ267100	0	0	0	0
DQ267101	0	0	0	0
DQ267102	0	0	0	0
Dqx1	0	0	0	0
Dr1	1	1	1	1
Dram2	1	0	0	1
Drap1	1	1	1	1
Draxin	0	1	1	0
Drc1	0	0	0	0
Drc3	0	0	0	0
Drc7	1	0	0	1
Drg1	1	1	1	1
Drg2	1	1	1	1
Drosha	1	0	0	0
Dsc2	1	1	1	1
Dscam	0	0	1	0
Dscc1	1	1	1	1
Dscr3	1	1	1	1
Dse	1	1	1	1
Dsel	1	1	1	1
Dsg2	1	1	0	1
Dsn1	1	1	1	1
Dsp	1	1	1	1
Dst	1	1	1	1
Dstn	1	1	1	1
Dstyk	1	1	1	1
Dtd1	1	1	1	1
Dtd2	1	1	1	1
Dtl	0	1	0	1
Dtna	1	1	1	1
Dtnb	1	1	1	1
Dtnbp1	1	1	1	1
Dtwd1	1	1	1	1
Dtwd2	1	1	1	1
Dtx1	0	0	0	0
Dtx2	1	1	1	1
Dtx3	1	1	0	0
Dtx3l	0	1	1	1
Dtx4	1	1	1	1
Dtymk	1	1	1	1
Dubr	1	1	1	1
Dupd1	0	0	0	0
Dus1l	1	1	1	1
Dus2	0	1	1	1
Dus3l	1	1	1	1
Dus4l	1	0	0	0
Dusp1	1	1	1	1
Dusp10	0	0	1	0
Dusp11	1	0	1	1
Dusp12	1	1	1	1
Dusp14	1	1	1	1
Dusp16	1	1	1	1
Dusp18	0	0	0	0
Dusp19	1	1	1	1
Dusp2	1	1	1	1
Dusp22	1	1	1	1
Dusp23	1	1	1	1
Dusp26	1	1	1	1
Dusp27	0	0	0	0
Dusp28	1	1	1	1
Dusp3	1	1	1	1
Dusp4	1	1	1	1
Dusp5	1	1	1	1
Dusp6	1	1	1	1
Dusp7	1	1	1	1
Dusp8	1	1	1	1
Dusp9	1	1	1	1
Dut	1	1	1	1
Duxbl1	0	0	0	0
Duxbl3	0	0	0	0
Dvl1	1	1	1	1
Dvl2	0	0	0	0
Dvl3	1	1	1	1
Dxo	1	0	0	0
Dym	1	1	1	1
Dync1h1	1	1	1	1
Dync1i2	1	1	1	1
Dync1li1	1	1	1	1
Dync1li2	1	1	1	1
Dync2h1	1	1	1	1
Dync2li1	1	1	1	1
Dynll1	1	0	1	0
Dynll2	1	1	1	1
Dynlrb1	1	1	1	1
Dynlt1a	1	1	1	1
Dynlt1b	0	0	0	0
Dynlt1c	1	1	1	1
Dynlt1f	1	1	1	1
Dynlt3	1	1	1	1
Dyrk1a	1	1	1	1
Dyrk1b	1	1	1	1
Dyrk2	1	1	1	1
Dyrk3	1	1	1	1
Dysf	1	1	1	1
Dyx1c1	1	1	1	1
Dzip1	1	1	1	1
Dzip1l	1	1	1	1
Dzip3	1	1	1	1
E030011O05Rik	0	1	1	0
E030018B13Rik	0	0	0	0
E030024N20Rik	0	0	0	0
E030030I06Rik	1	1	1	1
E130006D01Rik	1	0	0	0
E130102H24Rik	1	1	1	1
E130112N10Rik	1	0	0	0
E130218I03Rik	0	0	0	0
E130304I02Rik	0	0	0	0
E130307A14Rik	0	0	0	0
E130308A19Rik	1	1	1	1
E130309D02Rik	1	1	1	1
E130311K13Rik	1	1	1	1
E130317F20Rik	0	0	0	0
E230016M11Rik	0	1	1	1
E2f1	1	1	1	1
E2f2	1	1	1	1
E2f3	1	1	1	1
E2f4	1	1	1	1
E2f5	1	1	1	1
E2f6	1	1	1	1
E2f7	1	1	1	1
E2f8	1	1	1	1
E330009J07Rik	1	1	1	1
E330020D12Rik	0	0	0	0
E330033B04Rik	0	0	1	1
E430018J23Rik	1	1	1	1
E4f1	1	1	1	1
E530011L22Rik	1	0	1	0
Eaf1	1	1	0	1
Eaf2	1	1	1	1
Eapp	1	1	1	1
Ears2	0	0	0	0
Ebag9	1	1	1	1
Ebf1	1	1	1	1
Ebf3	1	1	1	1
Ebf4	1	1	1	1
Ebna1bp2	1	1	1	1
Ebp	1	1	1	1
Ebpl	1	1	1	1
Ecd	0	0	0	1
Ece1	1	1	1	1
Ece2	1	1	1	1
Ech1	1	1	0	0
Echdc1	1	1	1	1
Echdc2	1	0	0	1
Echdc3	1	1	1	1
Echs1	1	1	1	1
Eci1	1	1	1	1
Eci2	1	1	1	1
Eci3	0	0	0	0
Ecm1	1	1	1	1
Ecm2	0	0	0	0
Ecscr	1	1	1	1
Ecsit	1	1	1	1
Ect2	1	0	1	1
Eda	1	1	1	1
Eda2r	1	1	1	1
Edc3	1	1	1	1
Edc4	1	1	1	1
Edem1	1	1	1	1
Edem2	1	1	1	1
Edem3	1	1	1	1
Edf1	1	1	1	1
Edil3	1	1	1	1
Edn1	1	1	1	1
Edn2	1	0	0	0
Edn3	1	0	0	1
Ednra	1	1	1	1
Ednrb	1	1	1	1
Edrf1	1	1	1	1
Eea1	1	1	1	1
Eed	1	1	1	1
Eef1a1	1	1	1	1
Eef1a2	0	0	0	0
Eef1akmt1	1	1	1	1
Eef1b2	1	1	1	0
Eef1d	0	0	0	0
Eef1e1	1	1	1	1
Eef1g	1	1	1	1
Eef2	0	0	0	0
Eef2k	1	1	1	1
Eef2kmt	1	1	1	1
Eefsec	1	1	1	1
Eepd1	1	1	1	1
Efcab10	1	0	0	0
Efcab11	0	1	1	1
Efcab12	1	0	1	0
Efcab14	1	1	1	1
Efcab2	1	1	1	1
Efcab7	0	0	1	0
Efcab8	0	0	1	0
Efcab9	0	0	0	0
Efemp1	1	1	1	1
Efemp2	1	1	1	1
Efhb	1	1	1	1
Efhc1	1	1	1	1
Efhc2	1	0	0	0
Efhd1	1	1	1	1
Efhd2	1	1	1	1
Efl1	1	1	1	1
Efna1	1	1	1	1
Efna2	1	0	1	0
Efna3	1	0	0	0
Efna4	1	1	1	1
Efna5	0	1	1	1
Efnb1	1	1	1	1
Efnb2	1	1	1	1
Efnb3	1	0	0	0
Efr3a	1	1	1	1
Efr3b	1	1	1	1
Efs	1	1	1	1
Eftud2	1	1	1	1
Egfem1	1	1	1	0
Egfl7	0	0	0	0
Egfl8	0	0	0	0
Egflam	1	1	1	0
Egfr	1	1	1	1
Egln1	1	1	1	1
Egln2	1	1	1	1
Egln3	1	1	1	1
Egr1	1	1	1	1
Egr2	1	1	1	1
Egr3	1	1	1	1
Ehbp1	1	1	1	1
Ehbp1l1	0	0	0	0
Ehd1	1	1	1	1
Ehd2	1	1	1	1
Ehd3	1	1	1	1
Ehd4	1	1	1	1
Ehhadh	1	1	1	0
Ehmt1	1	1	1	1
Ehmt2	1	1	1	1
Ei24	1	1	1	1
Eid1	1	1	1	1
Eid2	1	1	1	1
Eid2b	1	1	1	1
Eid3	0	0	0	0
Eif1	1	1	1	1
Eif1a	1	0	0	0
Eif1ad	1	1	0	0
Eif1ax	1	1	1	1
Eif1b	1	1	1	1
Eif2a	1	1	1	1
Eif2ak1	0	0	0	0
Eif2ak2	1	1	1	1
Eif2ak3	0	0	0	0
Eif2ak4	1	1	1	1
Eif2b1	1	1	1	1
Eif2b2	1	1	1	1
Eif2b3	1	1	1	1
Eif2b4	0	1	0	1
Eif2b5	1	1	1	1
Eif2d	1	1	1	1
Eif2s1	0	0	0	0
Eif2s2	1	1	1	1
Eif2s3x	1	1	1	1
Eif2s3y	1	1	1	1
Eif3a	1	1	1	1
Eif3b	1	1	1	1
Eif3c	1	1	1	1
Eif3d	1	1	1	1
Eif3e	1	1	1	1
Eif3f	1	1	1	1
Eif3g	1	1	1	1
Eif3h	1	1	1	1
Eif3i	0	0	1	1
Eif3j1	1	1	1	0
Eif3j2	0	0	0	1
Eif3k	1	1	1	1
Eif3l	1	1	1	1
Eif3m	1	1	1	1
Eif4a1	1	1	1	1
Eif4a2	1	1	1	1
Eif4a3	1	1	1	1
Eif4b	1	1	1	1
Eif4e	1	1	1	1
Eif4e2	1	1	1	1
Eif4e3	1	1	1	1
Eif4ebp1	1	1	1	1
Eif4ebp2	1	1	1	1
Eif4ebp3	0	0	0	0
Eif4enif1	1	0	0	0
Eif4g1	1	1	1	1
Eif4g2	1	1	1	1
Eif4g3	1	1	1	1
Eif4h	1	1	1	1
Eif5	1	1	1	1
Eif5a	1	1	1	1
Eif5a2	1	1	1	1
Eif5b	1	1	1	1
Eif6	1	1	1	1
Elac1	1	1	1	1
Elac2	1	1	1	1
Elavl1	1	1	1	1
Elavl2	1	1	1	1
Elavl3	1	1	1	1
Elavl4	1	1	1	1
Eldr	1	0	1	0
Elf1	0	0	0	0
Elf2	1	1	1	1
Elf3	1	1	1	1
Elf4	1	1	1	0
Elk1	1	1	1	1
Elk3	1	1	1	1
Elk4	1	1	1	1
Ell	1	1	1	1
Ell2	1	1	1	1
Ell3	1	1	1	1
Elmo1	1	1	1	1
Elmo2	1	1	1	1
Elmo3	1	1	1	1
Elmod2	1	1	1	1
Elmod3	1	1	1	1
Elmsan1	1	1	1	1
Eloa	1	1	1	1
Elob	1	1	1	1
Eloc	1	1	1	1
Elof1	0	0	0	0
Elovl1	0	0	0	0
Elovl2	1	1	1	1
Elovl4	1	1	1	1
Elovl5	1	1	1	1
Elovl6	1	1	1	1
Elovl7	1	1	1	1
Elp2	0	0	0	0
Elp3	1	1	1	1
Elp4	1	1	1	1
Elp5	1	0	0	0
Elp6	0	0	0	0
Emb	1	1	1	1
Emc1	0	0	0	1
Emc10	0	1	1	1
Emc2	1	1	1	1
Emc3	1	1	1	1
Emc4	1	1	1	1
Emc6	0	0	0	0
Emc7	1	1	1	1
Emc8	0	0	0	0
Emc9	1	1	1	1
Emcn	0	0	0	0
Emd	1	1	1	1
Eme1	0	0	0	0
Eme2	0	0	0	0
Emg1	1	0	0	0
Emid1	0	1	0	1
Emilin1	1	1	1	1
Emilin2	1	1	1	1
Eml1	0	1	1	1
Eml2	1	0	0	1
Eml3	1	0	1	0
Eml4	1	1	1	1
Eml5	1	1	1	1
Eml6	1	1	1	1
Emp1	0	1	1	0
Emp2	1	1	1	0
Emp3	0	0	0	0
Emsy	1	1	1	1
En2	1	1	1	0
Enah	1	1	1	1
Enc1	1	1	1	1
Endod1	1	1	1	1
Endog	1	1	1	1
Endov	1	1	1	1
Eng	1	1	0	0
Engase	1	1	1	1
Enho	0	0	0	0
Enkd1	1	1	1	0
Eno1	1	1	1	1
Eno2	0	1	1	0
Eno3	0	0	0	0
Eno4	0	0	0	0
Enoph1	0	0	0	0
Enox1	1	1	1	1
Enox2	1	1	1	1
Enpp1	1	1	1	1
Enpp2	1	1	1	0
Enpp3	0	0	0	0
Enpp4	1	1	1	1
Enpp5	1	1	1	1
Ensa	0	0	0	0
Entpd1	0	0	0	0
Entpd4	0	0	0	0
Entpd5	1	0	1	1
Entpd6	1	1	1	1
Entpd7	1	1	1	1
Eny2	1	1	1	1
Eogt	1	1	1	1
Eomes	1	1	1	1
Ep300	1	1	1	1
Ep400	1	1	1	1
Epas1	1	1	1	1
Epb41	1	1	1	1
Epb41l1	1	1	1	1
Epb41l2	1	1	1	1
Epb41l3	1	1	1	1
Epb41l4a	1	1	1	1
Epb41l4aos	1	1	1	1
Epb41l4b	1	1	1	1
Epb41l5	1	1	1	1
Epb42	0	0	0	1
Epc1	1	1	1	1
Epc2	1	1	1	1
Epcam	1	1	0	1
Epdr1	1	1	1	1
Epg5	1	1	1	1
Epha1	1	1	1	1
Epha2	1	0	1	1
Epha4	1	1	1	1
Epha7	1	1	1	1
Ephb2	1	1	1	1
Ephb3	1	1	1	1
Ephb4	1	1	1	1
Ephb6	1	1	1	1
Ephx1	1	1	1	1
Ephx2	1	0	0	0
Ephx3	1	1	0	0
Epm2a	1	1	1	1
Epm2aip1	0	0	0	0
Epn1	1	1	1	1
Epn2	1	1	1	1
Epop	1	1	1	1
Epor	1	0	1	1
Eppk1	1	0	0	0
Eprs	1	1	1	1
Eps15	1	1	0	1
Eps15l1	1	1	1	1
Eps8	1	1	1	1
Eps8l2	0	0	0	0
Eral1	1	1	1	1
Erap1	1	1	1	1
Eras	0	0	0	0
Erbb2	1	1	1	1
Erbb3	1	0	1	1
Erbin	1	1	1	1
Erc1	1	0	0	0
Erc2	1	1	1	1
Ercc1	1	1	1	1
Ercc2	1	1	1	1
Ercc3	1	1	1	1
Ercc4	1	1	1	1
Ercc5	1	1	1	1
Ercc6	1	1	1	1
Ercc6l	1	1	1	1
Ercc6l2	0	0	0	0
Ercc8	0	0	0	0
Erdr1	0	0	0	0
Erf	1	1	1	1
Erfe	1	1	1	1
Erg	1	1	1	1
Ergic1	1	1	1	1
Ergic2	0	0	0	0
Ergic3	1	1	1	1
Erh	1	1	1	1
Eri1	1	1	1	1
Eri2	0	0	0	0
Eri3	1	1	1	1
Erich1	1	1	1	1
Erich2	1	1	1	1
Erlec1	1	1	1	0
Erlin1	1	1	1	1
Erlin2	1	1	1	1
Ermap	0	0	0	0
Ermard	0	0	0	0
Ermp1	1	1	1	1
Ern1	1	1	1	1
Ero1l	1	1	1	1
Ero1lb	1	1	1	1
Erp27	1	0	0	1
Erp29	1	1	1	1
Erp44	0	1	1	1
Errfi1	1	1	1	1
Esam	0	1	1	0
Esco1	1	1	1	1
Esco2	1	1	1	1
Esd	1	1	1	1
Esf1	0	0	0	1
Espl1	1	1	1	1
Espn	1	1	1	1
Esrp1	1	0	1	1
Esrp2	0	0	0	0
Esrra	1	1	1	1
Esrrb	1	1	1	1
Esyt1	1	1	1	1
Esyt2	0	0	0	0
Esyt3	1	0	0	1
Etaa1	1	1	1	1
Etaa1os	0	0	0	0
Etf1	1	1	1	1
Etfa	1	1	1	1
Etfb	1	1	1	1
Etfbkmt	1	1	1	1
Etfdh	0	0	0	0
Etfrf1	0	0	0	0
Ethe1	0	0	0	0
Etl4	1	1	1	1
Etnk1	0	0	0	0
Etnk2	1	1	1	1
Etohd2	0	0	0	0
Ets1	1	1	1	1
Ets2	1	1	1	1
Etv1	1	1	1	1
Etv2	1	1	1	1
Etv3	1	1	1	1
Etv4	1	1	1	1
Etv5	1	1	1	1
Etv6	1	1	1	1
EU599041	0	0	0	0
Eva1a	1	1	1	1
Eva1b	1	1	1	1
Evc	1	0	0	0
Evc2	1	1	1	0
Evi2a	0	0	0	0
Evi2b	0	0	0	1
Evi5	0	0	0	0
Evi5l	1	1	1	1
Evl	1	1	1	1
Evpl	0	0	0	1
Evx1	1	0	0	0
Evx1os	1	0	0	0
Ewsr1	0	0	0	0
Exd1	1	1	1	1
Exd2	1	1	1	1
Exo1	1	1	1	1
Exo5	1	1	1	1
Exoc1	1	1	1	1
Exoc2	1	1	1	1
Exoc3	1	1	1	1
Exoc3l	0	0	1	0
Exoc3l4	1	0	1	1
Exoc4	1	1	1	1
Exoc5	0	0	0	0
Exoc6	1	1	1	1
Exoc6b	1	1	1	1
Exoc7	1	1	1	1
Exoc8	1	1	1	0
Exog	1	1	1	1
Exosc1	1	1	1	0
Exosc10	1	1	1	1
Exosc2	1	1	1	1
Exosc3	1	0	1	1
Exosc4	1	1	1	1
Exosc5	1	1	1	1
Exosc6	0	0	0	0
Exosc7	0	0	0	0
Exosc8	1	1	1	1
Exosc9	1	1	1	1
Ext1	1	1	1	1
Ext2	1	1	1	1
Extl1	1	0	1	0
Extl2	1	1	1	1
Extl3	1	1	1	1
Eya1	1	1	1	1
Eya3	1	1	1	1
Ezh1	0	0	0	0
Ezh2	1	1	1	1
Ezr	1	1	1	1
F10	1	1	1	1
F11r	1	1	1	1
F13a1	0	0	0	0
F2	0	0	0	0
F2r	1	1	1	1
F2rl1	1	1	1	1
F2rl2	0	1	1	1
F2rl3	0	1	1	1
F3	1	1	1	1
F420014N23Rik	0	1	1	0
F5	1	1	1	1
F630028O10Rik	0	0	1	1
F630111L10Rik	0	1	1	1
F730043M19Rik	1	1	1	1
F8	0	0	0	0
F8a	1	1	1	1
Faah	1	1	1	1
Faap100	1	1	1	1
Faap20	1	1	1	1
Faap24	1	1	0	0
Fabp3	1	1	1	1
Fabp5	0	0	0	0
Fabp7	1	0	0	0
Fadd	1	1	1	1
Fads1	1	1	1	1
Fads2	1	1	1	1
Fads3	1	1	1	1
Fads6	1	1	1	1
Faf1	1	1	1	1
Faf2	1	1	1	1
Fah	0	0	0	0
Fahd1	1	1	1	1
Fahd2a	1	1	1	1
Faim	1	1	1	1
Fam102a	1	1	1	1
Fam102b	1	1	1	1
Fam103a1	1	1	1	1
Fam104a	1	1	1	1
Fam105a	1	1	1	1
Fam107a	1	1	1	0
Fam107b	1	1	1	1
Fam109a	1	1	1	1
Fam109b	1	0	1	1
Fam110a	1	1	1	1
Fam110b	1	1	1	1
Fam110c	0	0	0	0
Fam111a	1	1	1	1
Fam114a1	1	0	1	1
Fam114a2	1	1	1	1
Fam117a	1	1	1	1
Fam117b	1	1	1	1
Fam118a	0	0	0	0
Fam118b	1	1	1	1
Fam120a	0	0	1	1
Fam120aos	1	1	1	1
Fam120b	1	1	1	1
Fam120c	1	1	1	1
Fam122a	1	1	1	1
Fam122b	1	1	1	1
Fam124a	1	1	1	1
Fam126a	1	1	1	1
Fam126b	0	1	1	1
Fam129a	1	0	1	1
Fam129b	1	1	1	1
Fam129c	0	0	0	1
Fam131a	1	1	0	0
Fam131b	1	1	1	1
Fam131c	0	0	0	0
Fam132a	1	1	1	1
Fam133b	1	1	1	1
Fam134a	1	1	1	1
Fam134b	1	1	1	1
Fam134c	1	0	1	0
Fam135a	1	1	1	1
Fam136a	1	1	1	1
Fam13a	1	1	1	1
Fam13b	1	1	1	1
Fam13c	1	1	1	1
Fam149a	1	1	1	1
Fam149b	1	0	1	0
Fam151b	1	1	1	1
Fam159a	0	0	0	0
Fam160a1	0	0	0	0
Fam160a2	1	1	1	1
Fam160b1	1	0	1	1
Fam160b2	1	1	1	1
Fam161a	0	0	0	0
Fam161b	0	0	0	0
Fam162a	0	0	0	0
Fam163a	1	1	1	1
Fam166a	0	0	0	0
Fam167a	1	1	1	1
Fam167b	0	0	0	0
Fam168a	1	1	1	1
Fam168b	1	1	1	1
Fam169a	1	0	1	1
Fam169b	0	0	0	0
Fam171a1	1	1	1	1
Fam171a2	1	1	1	1
Fam171b	1	1	1	1
Fam172a	1	1	1	1
Fam173a	1	0	0	1
Fam173b	0	0	1	0
Fam174a	1	1	1	1
Fam174b	1	1	1	0
Fam175a	1	1	1	1
Fam175b	1	1	1	1
Fam177a	1	1	1	0
Fam178a	1	1	1	1
Fam178b	1	0	0	0
Fam179b	0	0	0	0
Fam181b	1	1	1	1
Fam183b	0	0	0	0
Fam184a	0	0	0	0
Fam184b	1	0	0	1
Fam185a	1	1	1	1
Fam187b	1	1	1	1
Fam188a	1	1	1	1
Fam188b	1	1	1	1
Fam189a2	1	1	1	1
Fam189b	1	1	1	1
Fam192a	0	0	0	0
Fam193a	1	1	1	1
Fam193b	1	1	1	1
Fam195a	1	1	1	1
Fam195b	0	1	1	1
Fam196a	1	1	1	1
Fam198b	0	1	1	1
Fam199x	1	1	1	1
Fam19a4	1	1	1	1
Fam19a5	1	1	1	1
Fam204a	1	1	1	1
Fam206a	0	0	0	0
Fam207a	1	1	1	1
Fam208a	1	1	1	1
Fam208b	1	1	1	1
Fam209	0	0	0	0
Fam20b	1	1	1	1
Fam20c	1	1	1	1
Fam210a	1	1	1	1
Fam210b	1	1	1	1
Fam212a	1	1	1	1
Fam212b	1	1	1	1
Fam213a	1	1	1	1
Fam213b	1	1	1	1
Fam214a	1	1	1	1
Fam214b	1	1	1	1
Fam216a	0	1	1	1
Fam217b	0	1	1	0
Fam219a	1	1	1	1
Fam219aos	0	0	0	0
Fam219b	1	1	1	1
Fam220a	1	1	1	1
Fam221a	1	1	1	1
Fam222a	1	1	1	1
Fam222b	1	1	1	1
Fam229b	0	0	0	0
Fam234a	1	1	1	1
Fam234b	1	1	1	1
Fam24a	0	0	0	0
Fam25c	0	0	0	0
Fam26f	0	0	0	0
Fam32a	1	1	1	1
Fam35a	0	0	0	0
Fam3a	1	1	1	1
Fam3c	1	1	1	1
Fam43a	1	1	1	1
Fam45a	1	1	1	1
Fam46a	1	1	1	1
Fam46b	1	1	1	1
Fam46c	1	1	1	1
Fam49a	1	1	1	1
Fam49b	0	0	1	1
Fam50a	1	1	1	1
Fam53a	1	1	1	1
Fam53b	1	1	1	1
Fam53c	1	1	1	1
Fam57a	1	1	1	1
Fam57b	1	1	1	1
Fam58b	1	0	1	1
Fam60a	1	1	1	0
Fam63a	1	1	1	1
Fam63b	1	1	1	1
Fam64a	1	1	1	1
Fam65a	1	1	1	1
Fam65b	0	1	1	0
Fam65c	1	1	1	1
Fam69a	1	1	1	1
Fam69b	1	0	0	0
Fam71a	0	0	0	0
Fam71e1	1	0	0	0
Fam71f1	0	1	1	1
Fam72a	0	0	0	0
Fam76a	1	1	1	1
Fam76b	0	0	0	0
Fam78a	0	1	0	1
Fam78b	1	1	1	1
Fam81a	0	0	0	0
Fam83b	0	0	0	0
Fam83d	1	1	1	1
Fam83e	0	0	0	0
Fam83g	1	1	1	1
Fam83h	1	0	0	0
Fam84b	1	1	1	1
Fam89a	1	1	1	1
Fam89b	1	0	1	0
Fam8a1	1	1	1	1
Fam91a1	1	1	1	1
Fam92a	1	1	1	1
Fam96a	1	1	1	1
Fam96b	1	1	1	1
Fam98a	1	1	1	1
Fam98b	1	1	1	1
Fam98c	0	1	0	1
Fan1	1	1	1	1
Fanca	1	1	1	1
Fancb	0	0	0	0
Fancc	1	1	1	1
Fancd2	0	0	0	0
Fancd2os	0	0	0	0
Fance	1	1	1	1
Fancf	1	0	0	0
Fancg	1	1	1	1
Fanci	1	1	1	1
Fancl	1	1	1	1
Fancm	1	1	1	1
Far1	1	1	1	1
Far1os	0	0	0	0
Far2	0	0	0	0
Farp1	1	1	1	1
Farp2	1	1	1	1
Fars2	0	1	1	1
Farsa	1	1	1	1
Farsb	1	1	1	1
Fas	1	1	1	1
Fasn	1	1	1	1
Fastk	1	1	1	1
Fastkd1	1	1	1	1
Fastkd2	1	1	1	0
Fastkd3	0	0	0	0
Fastkd5	1	1	1	1
Fat1	0	0	0	0
Fat2	0	0	0	0
Fat3	0	0	0	0
Fat4	1	1	1	1
Fau	0	0	0	0
Faxc	1	1	1	1
Fbf1	1	1	1	1
Fbl	1	1	1	1
Fblim1	1	1	1	1
Fbln1	1	1	1	1
